job_id,manifest,task_id,phase,embedding_root,model,variant,feature,classifier,reducer,components,output,elapsed_seconds,max_rss_kib
3858873_3,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,3,triple_models,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,sgd,pca,128,reports/classification/pooled_embeddings/triple_models/roberta_short_title_body_full_concat_sgd_pca_128.json,75,17194744
3858873_4,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,4,triple_models,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,mlp,none,0,reports/classification/pooled_embeddings/triple_models/roberta_short_title_body_full_concat_mlp_none_0.json,1029,19315624
3858873_5,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,5,triple_models,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,mlp,pca,128,reports/classification/pooled_embeddings/triple_models/roberta_short_title_body_full_concat_mlp_pca_128.json,335,16867844
3858873_6,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,6,triple_models,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,linear_svm,none,0,reports/classification/pooled_embeddings/triple_models/roberta_masked_short_title_body_full_concat_linear_svm_none_0.json,30063,28020236
3858873_7,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,7,triple_models,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,linear_svm,pca,128,reports/classification/pooled_embeddings/triple_models/roberta_masked_short_title_body_full_concat_linear_svm_pca_128.json,56,19360772
3858873_8,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,8,triple_models,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,sgd,none,0,reports/classification/pooled_embeddings/triple_models/roberta_masked_short_title_body_full_concat_sgd_none_0.json,1354,16282136
3858873_9,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,9,triple_models,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,sgd,pca,128,reports/classification/pooled_embeddings/triple_models/roberta_masked_short_title_body_full_concat_sgd_pca_128.json,87,16867288
3858873_10,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,10,triple_models,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,mlp,none,0,reports/classification/pooled_embeddings/triple_models/roberta_masked_short_title_body_full_concat_mlp_none_0.json,1495,19286172
3858873_11,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,11,triple_models,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,mlp,pca,128,reports/classification/pooled_embeddings/triple_models/roberta_masked_short_title_body_full_concat_mlp_pca_128.json,800,19418648
3858874_0,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,0,screening,data/processed/pooled_embeddings_v3,bge_m3,short,title_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/bge_m3_short_title_mean_logistic_none_0.json,47,10024248
3858874_1,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,1,screening,data/processed/pooled_embeddings_v3,bge_m3,short,title_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/bge_m3_short_title_mean_logistic_pca_128.json,16,1372
3858874_2,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,2,screening,data/processed/pooled_embeddings_v3,bge_m3,short,body_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/bge_m3_short_body_mean_logistic_none_0.json,62,15547196
3858874_3,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,3,screening,data/processed/pooled_embeddings_v3,bge_m3,short,body_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/bge_m3_short_body_mean_logistic_pca_128.json,14,1640
3858874_4,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,4,screening,data/processed/pooled_embeddings_v3,bge_m3,short,full_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/bge_m3_short_full_mean_logistic_none_0.json,61,15530272
3858874_5,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,5,screening,data/processed/pooled_embeddings_v3,bge_m3,short,full_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/bge_m3_short_full_mean_logistic_pca_128.json,16,1460
3858874_6,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,6,screening,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/bge_m3_masked_short_title_mean_logistic_none_0.json,97,15794424
3858874_7,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,7,screening,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/bge_m3_masked_short_title_mean_logistic_pca_128.json,18,1576636
3858874_8,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,8,screening,data/processed/pooled_embeddings_v3,bge_m3,masked_short,body_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/bge_m3_masked_short_body_mean_logistic_none_0.json,63,15551680
3858874_9,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,9,screening,data/processed/pooled_embeddings_v3,bge_m3,masked_short,body_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/bge_m3_masked_short_body_mean_logistic_pca_128.json,15,1424
3858874_10,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,10,screening,data/processed/pooled_embeddings_v3,bge_m3,masked_short,full_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/bge_m3_masked_short_full_mean_logistic_none_0.json,66,15477456
3858874_11,configs/generated/pooled_bge_m3_short_masked_short_screening.tsv,11,screening,data/processed/pooled_embeddings_v3,bge_m3,masked_short,full_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/bge_m3_masked_short_full_mean_logistic_pca_128.json,16,61760
3858876_0,configs/generated/pooled_roberta_short_masked_short_screening.tsv,0,screening,data/processed/pooled_embeddings_v3,roberta,short,title_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/roberta_short_title_mean_logistic_none_0.json,31,10900404
3858876_1,configs/generated/pooled_roberta_short_masked_short_screening.tsv,1,screening,data/processed/pooled_embeddings_v3,roberta,short,title_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/roberta_short_title_mean_logistic_pca_128.json,13,1816
3858876_2,configs/generated/pooled_roberta_short_masked_short_screening.tsv,2,screening,data/processed/pooled_embeddings_v3,roberta,short,body_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/roberta_short_body_mean_logistic_none_0.json,38,10953812
3858876_3,configs/generated/pooled_roberta_short_masked_short_screening.tsv,3,screening,data/processed/pooled_embeddings_v3,roberta,short,body_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/roberta_short_body_mean_logistic_pca_128.json,15,1720
3858876_4,configs/generated/pooled_roberta_short_masked_short_screening.tsv,4,screening,data/processed/pooled_embeddings_v3,roberta,short,full_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/roberta_short_full_mean_logistic_none_0.json,38,10893552
3858876_5,configs/generated/pooled_roberta_short_masked_short_screening.tsv,5,screening,data/processed/pooled_embeddings_v3,roberta,short,full_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/roberta_short_full_mean_logistic_pca_128.json,22,2516
3858876_6,configs/generated/pooled_roberta_short_masked_short_screening.tsv,6,screening,data/processed/pooled_embeddings_v3,roberta,masked_short,title_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/roberta_masked_short_title_mean_logistic_none_0.json,34,10908996
3858876_7,configs/generated/pooled_roberta_short_masked_short_screening.tsv,7,screening,data/processed/pooled_embeddings_v3,roberta,masked_short,title_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/roberta_masked_short_title_mean_logistic_pca_128.json,23,1269336
3858876_8,configs/generated/pooled_roberta_short_masked_short_screening.tsv,8,screening,data/processed/pooled_embeddings_v3,roberta,masked_short,body_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/roberta_masked_short_body_mean_logistic_none_0.json,42,9658168
3858876_9,configs/generated/pooled_roberta_short_masked_short_screening.tsv,9,screening,data/processed/pooled_embeddings_v3,roberta,masked_short,body_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/roberta_masked_short_body_mean_logistic_pca_128.json,14,23424
3858876_10,configs/generated/pooled_roberta_short_masked_short_screening.tsv,10,screening,data/processed/pooled_embeddings_v3,roberta,masked_short,full_mean,logistic,none,0,reports/classification/pooled_embeddings/screening/roberta_masked_short_full_mean_logistic_none_0.json,40,10901244
3858876_11,configs/generated/pooled_roberta_short_masked_short_screening.tsv,11,screening,data/processed/pooled_embeddings_v3,roberta,masked_short,full_mean,logistic,pca,128,reports/classification/pooled_embeddings/screening/roberta_masked_short_full_mean_logistic_pca_128.json,15,1388
3858877_0,configs/generated/pooled_bge_m3_short_masked_short_triple_concat.tsv,0,triple_concat,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,logistic,none,0,reports/classification/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_logistic_none_0.json,563,40918328
3858877_1,configs/generated/pooled_bge_m3_short_masked_short_triple_concat.tsv,1,triple_concat,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,logistic,pca,128,reports/classification/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_logistic_pca_128.json,38,21946164
3858877_2,configs/generated/pooled_bge_m3_short_masked_short_triple_concat.tsv,2,triple_concat,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,logistic,none,0,reports/classification/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_logistic_none_0.json,593,40920420
3858877_3,configs/generated/pooled_bge_m3_short_masked_short_triple_concat.tsv,3,triple_concat,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,logistic,pca,128,reports/classification/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_logistic_pca_128.json,75,26259448
3858888_0,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,0,aggregation,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_mean,logistic,none,0,reports/classification/pooled_embeddings/aggregation/bge_m3_short_title_body_mean_logistic_none_0.json,62,15454976
3858888_1,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,1,aggregation,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_mean,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/bge_m3_short_title_body_mean_logistic_pca_128.json,25,1018748
3858888_2,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,2,aggregation,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_concat,logistic,none,0,reports/classification/pooled_embeddings/aggregation/bge_m3_short_title_body_concat_logistic_none_0.json,164,27658188
3858888_3,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,3,aggregation,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_concat,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/bge_m3_short_title_body_concat_logistic_pca_128.json,29,1224
3858888_4,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,4,aggregation,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_mean,logistic,none,0,reports/classification/pooled_embeddings/aggregation/bge_m3_masked_short_title_body_mean_logistic_none_0.json,137,14233924
3858888_5,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,5,aggregation,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_mean,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/bge_m3_masked_short_title_body_mean_logistic_pca_128.json,19,1027652
3858888_6,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,6,aggregation,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_concat,logistic,none,0,reports/classification/pooled_embeddings/aggregation/bge_m3_masked_short_title_body_concat_logistic_none_0.json,186,27565676
3858888_7,configs/generated/pooled_bge_m3_short_masked_short_aggregation.tsv,7,aggregation,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_concat,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/bge_m3_masked_short_title_body_concat_logistic_pca_128.json,31,1652
3858889_0,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,0,aggregation,data/processed/pooled_embeddings_v3,roberta,short,title_body_mean,logistic,none,0,reports/classification/pooled_embeddings/aggregation/roberta_short_title_body_mean_logistic_none_0.json,40,9429440
3858889_1,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,1,aggregation,data/processed/pooled_embeddings_v3,roberta,short,title_body_mean,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/roberta_short_title_body_mean_logistic_pca_128.json,15,480488
3858889_2,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,2,aggregation,data/processed/pooled_embeddings_v3,roberta,short,title_body_concat,logistic,none,0,reports/classification/pooled_embeddings/aggregation/roberta_short_title_body_concat_logistic_none_0.json,83,16506112
3858889_3,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,3,aggregation,data/processed/pooled_embeddings_v3,roberta,short,title_body_concat,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/roberta_short_title_body_concat_logistic_pca_128.json,24,2644
3858889_4,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,4,aggregation,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_mean,logistic,none,0,reports/classification/pooled_embeddings/aggregation/roberta_masked_short_title_body_mean_logistic_none_0.json,45,9295940
3858889_5,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,5,aggregation,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_mean,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/roberta_masked_short_title_body_mean_logistic_pca_128.json,21,996996
3858889_6,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,6,aggregation,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_concat,logistic,none,0,reports/classification/pooled_embeddings/aggregation/roberta_masked_short_title_body_concat_logistic_none_0.json,88,16514508
3858889_7,configs/generated/pooled_roberta_short_masked_short_aggregation.tsv,7,aggregation,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_concat,logistic,pca,128,reports/classification/pooled_embeddings/aggregation/roberta_masked_short_title_body_concat_logistic_pca_128.json,35,12755672
