task_id	model	prompt_length	variant	target	test_year
124	bge_m3	long	long	next_day_return	2025
125	bge_m3	long	long	next_day_return	2026
126	bge_m3	long	masked_long	event_return_3d	2018
127	bge_m3	long	masked_long	event_return_3d	2019
128	bge_m3	long	masked_long	event_return_3d	2020
129	bge_m3	long	masked_long	event_return_3d	2021
130	bge_m3	long	masked_long	event_return_3d	2022
131	bge_m3	long	masked_long	event_return_3d	2023
132	bge_m3	long	masked_long	event_return_3d	2024
133	bge_m3	long	masked_long	event_return_3d	2025
134	bge_m3	long	masked_long	event_return_3d	2026
135	bge_m3	long	masked_long	next_day_return	2018
136	bge_m3	long	masked_long	next_day_return	2019
137	bge_m3	long	masked_long	next_day_return	2020
138	bge_m3	long	masked_long	next_day_return	2021
139	bge_m3	long	masked_long	next_day_return	2022
140	bge_m3	long	masked_long	next_day_return	2023
141	bge_m3	long	masked_long	next_day_return	2024
142	bge_m3	long	masked_long	next_day_return	2025
143	bge_m3	long	masked_long	next_day_return	2026
