task_id	model	variant	token_count	hidden_size	window	gate_tag	gate_mode	representation_size	gate_hidden_size	dropout	learning_rate	weight_decay	inner_fit_years	inner_validation_years	predictor_fit_years	predictor_validation_years	seed	representation_report	predictor_output
10	roberta	short	28	768	confirm2025	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_short_confirm2025_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_confirm2025_dynamic_rep128_seed42.json
11	roberta	short	28	768	confirm2025	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_short_confirm2025_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_confirm2025_dynamic_wide128_seed42.json
12	roberta	masked_short	28	768	tune2024	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_tune2024_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_tune2024_uniform64_seed42.json
13	roberta	masked_short	28	768	tune2024	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_tune2024_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_tune2024_static64_seed42.json
14	roberta	masked_short	28	768	tune2024	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_tune2024_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_tune2024_dynamic32_seed42.json
15	roberta	masked_short	28	768	tune2024	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_tune2024_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_tune2024_dynamic64_seed42.json
16	roberta	masked_short	28	768	tune2024	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_tune2024_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_tune2024_dynamic_rep128_seed42.json
17	roberta	masked_short	28	768	tune2024	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_tune2024_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_tune2024_dynamic_wide128_seed42.json
18	roberta	masked_short	28	768	confirm2025	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_confirm2025_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_confirm2025_uniform64_seed42.json
19	roberta	masked_short	28	768	confirm2025	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_confirm2025_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_confirm2025_static64_seed42.json
20	roberta	masked_short	28	768	confirm2025	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_confirm2025_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_confirm2025_dynamic32_seed42.json
21	roberta	masked_short	28	768	confirm2025	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_confirm2025_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_confirm2025_dynamic64_seed42.json
22	roberta	masked_short	28	768	confirm2025	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_confirm2025_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_confirm2025_dynamic_rep128_seed42.json
23	roberta	masked_short	28	768	confirm2025	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_masked_short_confirm2025_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_masked_short_confirm2025_dynamic_wide128_seed42.json
24	bge_m3	short	18	1024	tune2024	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_short_tune2024_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_tune2024_uniform64_seed42.json
25	bge_m3	short	18	1024	tune2024	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_short_tune2024_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_tune2024_static64_seed42.json
26	bge_m3	short	18	1024	tune2024	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_short_tune2024_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_tune2024_dynamic32_seed42.json
27	bge_m3	short	18	1024	tune2024	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_short_tune2024_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_tune2024_dynamic64_seed42.json
28	bge_m3	short	18	1024	tune2024	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_short_tune2024_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_tune2024_dynamic_rep128_seed42.json
29	bge_m3	short	18	1024	tune2024	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_short_tune2024_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_tune2024_dynamic_wide128_seed42.json
30	bge_m3	short	18	1024	confirm2025	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_short_confirm2025_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_confirm2025_uniform64_seed42.json
31	bge_m3	short	18	1024	confirm2025	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_short_confirm2025_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_confirm2025_static64_seed42.json
32	bge_m3	short	18	1024	confirm2025	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_short_confirm2025_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_confirm2025_dynamic32_seed42.json
33	bge_m3	short	18	1024	confirm2025	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_short_confirm2025_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_confirm2025_dynamic64_seed42.json
34	bge_m3	short	18	1024	confirm2025	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_short_confirm2025_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_confirm2025_dynamic_rep128_seed42.json
35	bge_m3	short	18	1024	confirm2025	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_short_confirm2025_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_short_confirm2025_dynamic_wide128_seed42.json
36	bge_m3	masked_short	18	1024	tune2024	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_tune2024_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_tune2024_uniform64_seed42.json
37	bge_m3	masked_short	18	1024	tune2024	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_tune2024_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_tune2024_static64_seed42.json
38	bge_m3	masked_short	18	1024	tune2024	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_tune2024_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_tune2024_dynamic32_seed42.json
39	bge_m3	masked_short	18	1024	tune2024	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_tune2024_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_tune2024_dynamic64_seed42.json
40	bge_m3	masked_short	18	1024	tune2024	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_tune2024_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_tune2024_dynamic_rep128_seed42.json
41	bge_m3	masked_short	18	1024	tune2024	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_tune2024_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_tune2024_dynamic_wide128_seed42.json
42	bge_m3	masked_short	18	1024	confirm2025	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_confirm2025_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_confirm2025_uniform64_seed42.json
43	bge_m3	masked_short	18	1024	confirm2025	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_confirm2025_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_confirm2025_static64_seed42.json
44	bge_m3	masked_short	18	1024	confirm2025	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_confirm2025_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_confirm2025_dynamic32_seed42.json
45	bge_m3	masked_short	18	1024	confirm2025	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_confirm2025_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_confirm2025_dynamic64_seed42.json
46	bge_m3	masked_short	18	1024	confirm2025	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_confirm2025_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_confirm2025_dynamic_rep128_seed42.json
47	bge_m3	masked_short	18	1024	confirm2025	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/bge_m3_masked_short_confirm2025_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/bge_m3_masked_short_confirm2025_dynamic_wide128_seed42.json
