task_id	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	output
17	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_small_mlp_pca_128.json
18	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_ridge_none_0.json
19	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_ridge_pca_128.json
20	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_huber_sgd_none_0.json
21	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_huber_sgd_pca_128.json
22	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_small_mlp_none_0.json
23	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_small_mlp_pca_128.json
24	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_ridge_none_0.json
25	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_ridge_pca_128.json
26	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_huber_sgd_none_0.json
27	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_huber_sgd_pca_128.json
28	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_small_mlp_none_0.json
29	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_small_mlp_pca_128.json
30	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_ridge_none_0.json
31	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_ridge_pca_128.json
32	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_huber_sgd_none_0.json
33	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_huber_sgd_pca_128.json
34	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_small_mlp_none_0.json
35	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_small_mlp_pca_128.json
36	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_ridge_none_0.json
37	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_ridge_pca_128.json
38	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_huber_sgd_none_0.json
39	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_huber_sgd_pca_128.json
40	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_small_mlp_none_0.json
41	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_small_mlp_pca_128.json
42	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_ridge_none_0.json
43	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_ridge_pca_128.json
44	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_huber_sgd_none_0.json
45	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_huber_sgd_pca_128.json
46	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_small_mlp_none_0.json
47	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_small_mlp_pca_128.json
48	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_ridge_none_0.json
49	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_ridge_pca_128.json
50	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_huber_sgd_none_0.json
51	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_huber_sgd_pca_128.json
52	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_small_mlp_none_0.json
53	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_small_mlp_pca_128.json
54	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_ridge_none_0.json
55	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_ridge_pca_128.json
56	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_huber_sgd_none_0.json
57	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_huber_sgd_pca_128.json
58	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_small_mlp_none_0.json
59	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_small_mlp_pca_128.json
60	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_ridge_none_0.json
61	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_ridge_pca_128.json
62	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_huber_sgd_none_0.json
63	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_huber_sgd_pca_128.json
64	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_small_mlp_none_0.json
65	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_small_mlp_pca_128.json
66	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_ridge_none_0.json
67	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_ridge_pca_128.json
68	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_huber_sgd_none_0.json
69	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_huber_sgd_pca_128.json
70	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_small_mlp_none_0.json
71	data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_small_mlp_pca_128.json
