task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
10	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	catboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_catboost_dynamic_token_gate.json	event_return_3d	next_day_return
11	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	knn	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_knn_dynamic_token_gate.json	event_return_3d	next_day_return
12	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
13	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
14	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
15	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
16	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	simple_mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_simple_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
17	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	random_forest	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_random_forest_dynamic_token_gate.json	event_return_3d	next_day_return
18	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	extra_trees	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_extra_trees_dynamic_token_gate.json	event_return_3d	next_day_return
19	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	hist_gradient_boosting	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_hist_gradient_boosting_dynamic_token_gate.json	event_return_3d	next_day_return
20	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	xgboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_xgboost_dynamic_token_gate.json	event_return_3d	next_day_return
21	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	lightgbm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_lightgbm_dynamic_token_gate.json	event_return_3d	next_day_return
22	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	catboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_catboost_dynamic_token_gate.json	event_return_3d	next_day_return
23	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	prompt_tokens_flat	knn	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_short_prompt_tokens_flat_knn_dynamic_token_gate.json	event_return_3d	next_day_return
24	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
25	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
26	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
27	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
28	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	simple_mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_simple_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
29	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	random_forest	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_random_forest_dynamic_token_gate.json	event_return_3d	next_day_return
30	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	extra_trees	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_extra_trees_dynamic_token_gate.json	event_return_3d	next_day_return
31	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	hist_gradient_boosting	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_hist_gradient_boosting_dynamic_token_gate.json	event_return_3d	next_day_return
32	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	xgboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_xgboost_dynamic_token_gate.json	event_return_3d	next_day_return
33	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	lightgbm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_lightgbm_dynamic_token_gate.json	event_return_3d	next_day_return
34	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	catboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_catboost_dynamic_token_gate.json	event_return_3d	next_day_return
35	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	prompt_tokens_flat	knn	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_long_prompt_tokens_flat_knn_dynamic_token_gate.json	event_return_3d	next_day_return
36	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
37	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
38	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
39	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
40	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	simple_mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_simple_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
41	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	random_forest	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_random_forest_dynamic_token_gate.json	event_return_3d	next_day_return
42	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	extra_trees	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_extra_trees_dynamic_token_gate.json	event_return_3d	next_day_return
43	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	hist_gradient_boosting	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_hist_gradient_boosting_dynamic_token_gate.json	event_return_3d	next_day_return
44	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	xgboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_xgboost_dynamic_token_gate.json	event_return_3d	next_day_return
45	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	lightgbm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_lightgbm_dynamic_token_gate.json	event_return_3d	next_day_return
46	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	catboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_catboost_dynamic_token_gate.json	event_return_3d	next_day_return
47	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	prompt_tokens_flat	knn	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_masked_long_prompt_tokens_flat_knn_dynamic_token_gate.json	event_return_3d	next_day_return
48	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
49	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
50	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
51	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
52	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	simple_mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_simple_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
53	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	random_forest	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_random_forest_dynamic_token_gate.json	event_return_3d	next_day_return
54	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	extra_trees	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_extra_trees_dynamic_token_gate.json	event_return_3d	next_day_return
55	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	hist_gradient_boosting	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_hist_gradient_boosting_dynamic_token_gate.json	event_return_3d	next_day_return
56	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	xgboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_xgboost_dynamic_token_gate.json	event_return_3d	next_day_return
57	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	lightgbm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_lightgbm_dynamic_token_gate.json	event_return_3d	next_day_return
58	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	catboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_catboost_dynamic_token_gate.json	event_return_3d	next_day_return
59	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	prompt_tokens_flat	knn	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_short_prompt_tokens_flat_knn_dynamic_token_gate.json	event_return_3d	next_day_return
60	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
61	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
62	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
63	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
64	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	simple_mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_simple_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
65	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	random_forest	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_random_forest_dynamic_token_gate.json	event_return_3d	next_day_return
66	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	extra_trees	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_extra_trees_dynamic_token_gate.json	event_return_3d	next_day_return
67	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	hist_gradient_boosting	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_hist_gradient_boosting_dynamic_token_gate.json	event_return_3d	next_day_return
68	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	xgboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_xgboost_dynamic_token_gate.json	event_return_3d	next_day_return
69	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	lightgbm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_lightgbm_dynamic_token_gate.json	event_return_3d	next_day_return
70	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	catboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_catboost_dynamic_token_gate.json	event_return_3d	next_day_return
71	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	prompt_tokens_flat	knn	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_masked_short_prompt_tokens_flat_knn_dynamic_token_gate.json	event_return_3d	next_day_return
72	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_long_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
73	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_long_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
74	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_long_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
75	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/bge_m3_long_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
