task_id	source_task_id	predictions	factor_id	output_dir
10	10	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_short_full_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_full_mean_small_mlp_none_0
11	11	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_small_mlp_pca_128.stock_day_predictions.parquet	roberta_short_full_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_full_mean_small_mlp_pca_128
12	12	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_ridge_none_0.stock_day_predictions.parquet	roberta_short_title_body_full_concat_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_title_body_full_concat_ridge_none_0
13	13	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_ridge_pca_128.stock_day_predictions.parquet	roberta_short_title_body_full_concat_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_title_body_full_concat_ridge_pca_128
14	14	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_huber_sgd_none_0.stock_day_predictions.parquet	roberta_short_title_body_full_concat_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_title_body_full_concat_huber_sgd_none_0
15	15	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_short_title_body_full_concat_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_title_body_full_concat_huber_sgd_pca_128
16	16	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_small_mlp_none_0.stock_day_predictions.parquet	roberta_short_title_body_full_concat_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_title_body_full_concat_small_mlp_none_0
17	17	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_small_mlp_pca_128.stock_day_predictions.parquet	roberta_short_title_body_full_concat_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_short_title_body_full_concat_small_mlp_pca_128
18	18	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_body_mean_ridge_none_0
19	19	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_ridge_pca_128.stock_day_predictions.parquet	roberta_masked_short_body_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_body_mean_ridge_pca_128
20	20	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_body_mean_huber_sgd_none_0
21	21	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_masked_short_body_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_body_mean_huber_sgd_pca_128
22	22	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_body_mean_small_mlp_none_0
23	23	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_small_mlp_pca_128.stock_day_predictions.parquet	roberta_masked_short_body_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_body_mean_small_mlp_pca_128
24	24	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_full_mean_ridge_none_0
25	25	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_ridge_pca_128.stock_day_predictions.parquet	roberta_masked_short_full_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_full_mean_ridge_pca_128
26	26	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_full_mean_huber_sgd_none_0
27	27	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_masked_short_full_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_full_mean_huber_sgd_pca_128
28	28	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_full_mean_small_mlp_none_0
29	29	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_small_mlp_pca_128.stock_day_predictions.parquet	roberta_masked_short_full_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_full_mean_small_mlp_pca_128
30	30	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_title_body_full_concat_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_title_body_full_concat_ridge_none_0
31	31	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_ridge_pca_128.stock_day_predictions.parquet	roberta_masked_short_title_body_full_concat_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_title_body_full_concat_ridge_pca_128
32	32	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_huber_sgd_none_0.stock_day_predictions.parquet	roberta_masked_short_title_body_full_concat_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_title_body_full_concat_huber_sgd_none_0
33	33	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_masked_short_title_body_full_concat_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_title_body_full_concat_huber_sgd_pca_128
34	34	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_small_mlp_none_0.stock_day_predictions.parquet	roberta_masked_short_title_body_full_concat_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_title_body_full_concat_small_mlp_none_0
35	35	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_title_body_full_concat_small_mlp_pca_128.stock_day_predictions.parquet	roberta_masked_short_title_body_full_concat_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/roberta_masked_short_title_body_full_concat_small_mlp_pca_128
36	36	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_ridge_none_0.stock_day_predictions.parquet	bge_m3_short_body_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_body_mean_ridge_none_0
37	37	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_ridge_pca_128.stock_day_predictions.parquet	bge_m3_short_body_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_body_mean_ridge_pca_128
38	38	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	bge_m3_short_body_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_body_mean_huber_sgd_none_0
39	39	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_huber_sgd_pca_128.stock_day_predictions.parquet	bge_m3_short_body_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_body_mean_huber_sgd_pca_128
40	40	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_small_mlp_none_0.stock_day_predictions.parquet	bge_m3_short_body_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_body_mean_small_mlp_none_0
41	41	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_body_mean_small_mlp_pca_128.stock_day_predictions.parquet	bge_m3_short_body_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_body_mean_small_mlp_pca_128
42	42	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_ridge_none_0.stock_day_predictions.parquet	bge_m3_short_full_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_full_mean_ridge_none_0
43	43	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_ridge_pca_128.stock_day_predictions.parquet	bge_m3_short_full_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_full_mean_ridge_pca_128
44	44	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_huber_sgd_none_0.stock_day_predictions.parquet	bge_m3_short_full_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_full_mean_huber_sgd_none_0
45	45	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_huber_sgd_pca_128.stock_day_predictions.parquet	bge_m3_short_full_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_full_mean_huber_sgd_pca_128
46	46	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	bge_m3_short_full_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_full_mean_small_mlp_none_0
47	47	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_full_mean_small_mlp_pca_128.stock_day_predictions.parquet	bge_m3_short_full_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_full_mean_small_mlp_pca_128
48	48	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_ridge_none_0.stock_day_predictions.parquet	bge_m3_short_title_body_full_concat_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_title_body_full_concat_ridge_none_0
49	49	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_ridge_pca_128.stock_day_predictions.parquet	bge_m3_short_title_body_full_concat_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_title_body_full_concat_ridge_pca_128
50	50	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_huber_sgd_none_0.stock_day_predictions.parquet	bge_m3_short_title_body_full_concat_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_title_body_full_concat_huber_sgd_none_0
51	51	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_huber_sgd_pca_128.stock_day_predictions.parquet	bge_m3_short_title_body_full_concat_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_title_body_full_concat_huber_sgd_pca_128
52	52	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_small_mlp_none_0.stock_day_predictions.parquet	bge_m3_short_title_body_full_concat_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_title_body_full_concat_small_mlp_none_0
53	53	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_short_title_body_full_concat_small_mlp_pca_128.stock_day_predictions.parquet	bge_m3_short_title_body_full_concat_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_short_title_body_full_concat_small_mlp_pca_128
54	54	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_ridge_none_0.stock_day_predictions.parquet	bge_m3_masked_short_body_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_body_mean_ridge_none_0
55	55	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_ridge_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_body_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_body_mean_ridge_pca_128
56	56	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	bge_m3_masked_short_body_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_body_mean_huber_sgd_none_0
57	57	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_huber_sgd_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_body_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_body_mean_huber_sgd_pca_128
58	58	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_small_mlp_none_0.stock_day_predictions.parquet	bge_m3_masked_short_body_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_body_mean_small_mlp_none_0
59	59	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_body_mean_small_mlp_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_body_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_body_mean_small_mlp_pca_128
60	60	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_ridge_none_0.stock_day_predictions.parquet	bge_m3_masked_short_full_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_full_mean_ridge_none_0
61	61	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_ridge_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_full_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_full_mean_ridge_pca_128
62	62	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_huber_sgd_none_0.stock_day_predictions.parquet	bge_m3_masked_short_full_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_full_mean_huber_sgd_none_0
63	63	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_huber_sgd_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_full_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_full_mean_huber_sgd_pca_128
64	64	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	bge_m3_masked_short_full_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_full_mean_small_mlp_none_0
65	65	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_full_mean_small_mlp_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_full_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_full_mean_small_mlp_pca_128
66	66	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_ridge_none_0.stock_day_predictions.parquet	bge_m3_masked_short_title_body_full_concat_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_title_body_full_concat_ridge_none_0
67	67	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_ridge_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_title_body_full_concat_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_title_body_full_concat_ridge_pca_128
68	68	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_huber_sgd_none_0.stock_day_predictions.parquet	bge_m3_masked_short_title_body_full_concat_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_title_body_full_concat_huber_sgd_none_0
69	69	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_huber_sgd_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_title_body_full_concat_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_title_body_full_concat_huber_sgd_pca_128
70	70	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_small_mlp_none_0.stock_day_predictions.parquet	bge_m3_masked_short_title_body_full_concat_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_title_body_full_concat_small_mlp_none_0
71	71	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/bge_m3_masked_short_title_body_full_concat_small_mlp_pca_128.stock_day_predictions.parquet	bge_m3_masked_short_title_body_full_concat_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_v1/bge_m3_masked_short_title_body_full_concat_small_mlp_pca_128
