task_id	family	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	search_stage	alphas	output
25	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_mean_huber_sgd_none_0_coarse.json
26	representation	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_body_mean_ridge_none_0_coarse.json
27	representation	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_body_mean_huber_sgd_none_0_coarse.json
28	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_body_mean_ridge_none_0_coarse.json
29	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_body_mean_huber_sgd_none_0_coarse.json
30	representation	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_full_mean_ridge_none_0_coarse.json
31	representation	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_full_mean_huber_sgd_none_0_coarse.json
32	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_body_concat_ridge_none_0_coarse.json
33	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_body_concat_huber_sgd_none_0_coarse.json
34	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_ridge_none_0_coarse.json
35	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_huber_sgd_none_0_coarse.json
36	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_mean_ridge_none_0_coarse.json
37	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_mean_huber_sgd_none_0_coarse.json
38	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_ridge_none_0_coarse.json
39	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_huber_sgd_none_0_coarse.json
40	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_mean_ridge_none_0_coarse.json
41	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_mean_huber_sgd_none_0_coarse.json
42	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_ridge_none_0_coarse.json
43	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_huber_sgd_none_0_coarse.json
44	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_concat_ridge_none_0_coarse.json
45	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_concat_huber_sgd_none_0_coarse.json
46	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_ridge_none_0_coarse.json
47	representation	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_masked_short_title_body_full_concat_huber_sgd_none_0_coarse.json
48	fine	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_body_mean_ridge_none_0_fine.json
49	fine	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_body_mean_ridge_pca_128_fine.json
50	fine	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_body_mean_huber_sgd_none_0_fine.json
51	fine	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_body_mean_huber_sgd_pca_128_fine.json
52	fine	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_body_mean_small_mlp_none_0_fine.json
53	fine	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_body_mean_small_mlp_pca_128_fine.json
54	fine	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_full_mean_ridge_none_0_fine.json
55	fine	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_full_mean_ridge_pca_128_fine.json
56	fine	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_full_mean_huber_sgd_none_0_fine.json
57	fine	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_full_mean_huber_sgd_pca_128_fine.json
58	fine	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_full_mean_small_mlp_none_0_fine.json
59	fine	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_full_mean_small_mlp_pca_128_fine.json
60	fine	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_ridge_none_0_fine.json
61	fine	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_ridge_pca_128_fine.json
62	fine	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_huber_sgd_none_0_fine.json
63	fine	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_huber_sgd_pca_128_fine.json
64	fine	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_small_mlp_none_0_fine.json
65	fine	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_small_mlp_pca_128_fine.json
66	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_body_mean_ridge_none_0_fine.json
67	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_body_mean_ridge_pca_128_fine.json
68	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_body_mean_huber_sgd_none_0_fine.json
69	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_body_mean_huber_sgd_pca_128_fine.json
70	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_body_mean_small_mlp_none_0_fine.json
71	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_body_mean_small_mlp_pca_128_fine.json
72	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_full_mean_ridge_none_0_fine.json
73	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_full_mean_ridge_pca_128_fine.json
74	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_full_mean_huber_sgd_none_0_fine.json
75	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_full_mean_huber_sgd_pca_128_fine.json
76	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_full_mean_small_mlp_none_0_fine.json
77	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_full_mean_small_mlp_pca_128_fine.json
78	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_ridge_none_0_fine.json
79	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_ridge_pca_128_fine.json
80	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_huber_sgd_none_0_fine.json
81	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_huber_sgd_pca_128_fine.json
82	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_small_mlp_none_0_fine.json
83	fine	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_small_mlp_pca_128_fine.json
84	fine	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_body_mean_ridge_none_0_fine.json
85	fine	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_body_mean_ridge_pca_128_fine.json
86	fine	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_body_mean_huber_sgd_none_0_fine.json
87	fine	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_body_mean_huber_sgd_pca_128_fine.json
88	fine	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_body_mean_small_mlp_none_0_fine.json
89	fine	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_body_mean_small_mlp_pca_128_fine.json
90	fine	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_full_mean_ridge_none_0_fine.json
91	fine	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_full_mean_ridge_pca_128_fine.json
92	fine	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_full_mean_huber_sgd_none_0_fine.json
93	fine	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_full_mean_huber_sgd_pca_128_fine.json
94	fine	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_full_mean_small_mlp_none_0_fine.json
95	fine	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_full_mean_small_mlp_pca_128_fine.json
96	fine	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_ridge_none_0_fine.json
97	fine	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_ridge_pca_128_fine.json
98	fine	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_huber_sgd_none_0_fine.json
99	fine	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_huber_sgd_pca_128_fine.json
100	fine	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_small_mlp_none_0_fine.json
101	fine	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_short_title_body_full_concat_small_mlp_pca_128_fine.json
102	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_ridge_none_0_fine.json
103	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_ridge_pca_128_fine.json
104	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	huber_sgd	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_huber_sgd_none_0_fine.json
105	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	huber_sgd	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_huber_sgd_pca_128_fine.json
106	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	small_mlp	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_small_mlp_none_0_fine.json
107	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	next_day_return	small_mlp	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_body_mean_small_mlp_pca_128_fine.json
108	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	ridge	screen	none	0	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_ridge_none_0_fine.json
109	fine	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	next_day_return	ridge	screen	pca	128	fine	0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000	reports/regression/overnight_v1/bge_m3_masked_short_full_mean_ridge_pca_128_fine.json
