task_id	embedding_root	model	variant	feature	target	regressor	reducer	components	output
14	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_masked_short_full_mean_next_day_return_ridge_none_0.json
15	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_masked_short_full_mean_next_day_return_ridge_pca_128.json
16	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_long_full_mean_next_day_return_ridge_none_0.json
17	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_long_full_mean_next_day_return_ridge_pca_128.json
18	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_masked_long_full_mean_next_day_return_ridge_none_0.json
19	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	masked_long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_masked_long_full_mean_next_day_return_ridge_pca_128.json
20	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	plain	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_plain_full_mean_next_day_return_ridge_none_0.json
21	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	plain	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_plain_full_mean_next_day_return_ridge_pca_128.json
22	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_short_full_mean_next_day_return_ridge_none_0.json
23	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_short_full_mean_next_day_return_ridge_pca_128.json
24	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_masked_short_full_mean_next_day_return_ridge_none_0.json
25	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_masked_short_full_mean_next_day_return_ridge_pca_128.json
26	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_long_full_mean_next_day_return_ridge_none_0.json
27	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_long_full_mean_next_day_return_ridge_pca_128.json
28	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_masked_long_full_mean_next_day_return_ridge_none_0.json
29	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/ckip_bert_masked_long_full_mean_next_day_return_ridge_pca_128.json
30	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	plain	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_plain_full_mean_next_day_return_ridge_none_0.json
31	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	plain	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_plain_full_mean_next_day_return_ridge_pca_128.json
32	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_short_full_mean_next_day_return_ridge_none_0.json
33	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_short_full_mean_next_day_return_ridge_pca_128.json
34	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_masked_short_full_mean_next_day_return_ridge_none_0.json
35	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_masked_short_full_mean_next_day_return_ridge_pca_128.json
36	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_long_full_mean_next_day_return_ridge_none_0.json
37	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_long_full_mean_next_day_return_ridge_pca_128.json
38	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_masked_long_full_mean_next_day_return_ridge_none_0.json
39	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/xlm_roberta_large_masked_long_full_mean_next_day_return_ridge_pca_128.json
