task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output
13	linear	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/bge_m3_short_body_mean_sgd_none_0.json
14	linear	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_short_body_mean_sgd_pca_128.json
15	linear	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_short_full_mean_linear_svm_pca_128.json
16	linear	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/bge_m3_short_full_mean_sgd_none_0.json
17	linear	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_short_full_mean_sgd_pca_128.json
18	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	title_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/roberta_masked_short_title_mean_linear_svm_pca_128.json
19	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	title_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/roberta_masked_short_title_mean_sgd_none_0.json
20	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	title_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/roberta_masked_short_title_mean_sgd_pca_128.json
21	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/roberta_masked_short_body_mean_linear_svm_pca_128.json
22	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/roberta_masked_short_body_mean_sgd_none_0.json
23	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/roberta_masked_short_body_mean_sgd_pca_128.json
24	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/roberta_masked_short_full_mean_linear_svm_pca_128.json
25	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/roberta_masked_short_full_mean_sgd_none_0.json
26	linear	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/roberta_masked_short_full_mean_sgd_pca_128.json
27	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_title_mean_linear_svm_pca_128.json
28	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_title_mean_sgd_none_0.json
29	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_title_mean_sgd_pca_128.json
30	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_body_mean_linear_svm_pca_128.json
31	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_body_mean_sgd_none_0.json
32	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_body_mean_sgd_pca_128.json
33	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_full_mean_linear_svm_pca_128.json
34	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_full_mean_sgd_none_0.json
35	linear	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_masked_short_full_mean_sgd_pca_128.json
