task_id	model	embedding_root	variant	target	regressor	run_mode	reducer	components	seed	output
16	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_huber_sgd_pca128_seed42.json
17	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_huber_sgd_pca256_seed42.json
18	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_ridge_none_seed42.json
19	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_ridge_pca32_seed42.json
20	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_ridge_pca64_seed42.json
21	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_ridge_pca128_seed42.json
22	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_ridge_pca256_seed42.json
23	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_huber_sgd_pca32_seed42.json
24	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_huber_sgd_pca64_seed42.json
25	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_huber_sgd_pca128_seed42.json
26	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_masked_short_huber_sgd_pca256_seed42.json
27	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_ridge_none_seed42.json
28	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_ridge_pca32_seed42.json
29	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_ridge_pca64_seed42.json
30	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_ridge_pca128_seed42.json
31	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_ridge_pca256_seed42.json
32	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_huber_sgd_pca32_seed42.json
33	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_huber_sgd_pca64_seed42.json
34	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_huber_sgd_pca128_seed42.json
35	roberta	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_short_huber_sgd_pca256_seed42.json
36	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_ridge_none_seed42.json
37	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_ridge_pca32_seed42.json
38	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_ridge_pca64_seed42.json
39	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_ridge_pca128_seed42.json
40	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_ridge_pca256_seed42.json
41	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_huber_sgd_pca32_seed42.json
42	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_huber_sgd_pca64_seed42.json
43	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_huber_sgd_pca128_seed42.json
44	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/roberta_masked_short_huber_sgd_pca256_seed42.json
45	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_ridge_none_seed42.json
46	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_ridge_pca32_seed42.json
47	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_ridge_pca64_seed42.json
48	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_ridge_pca128_seed42.json
49	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_ridge_pca256_seed42.json
50	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_huber_sgd_pca32_seed42.json
51	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_huber_sgd_pca64_seed42.json
52	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_huber_sgd_pca128_seed42.json
53	bge_m3	data/processed/pooled_embeddings_v3	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_short_huber_sgd_pca256_seed42.json
54	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_ridge_none_seed42.json
55	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_ridge_pca32_seed42.json
56	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_ridge_pca64_seed42.json
57	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_ridge_pca128_seed42.json
58	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_ridge_pca256_seed42.json
59	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_huber_sgd_pca32_seed42.json
60	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_huber_sgd_pca64_seed42.json
61	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_huber_sgd_pca128_seed42.json
62	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/bge_m3_masked_short_huber_sgd_pca256_seed42.json
