task_id	model	prompt_length	variant	target	test_year
124	bge_m3	long	long	next_day_return	2025
125	bge_m3	long	long	next_day_return	2026
126	bge_m3	long	masked_long	event_return_3d	2018
127	bge_m3	long	masked_long	event_return_3d	2019
128	bge_m3	long	masked_long	event_return_3d	2020
129	bge_m3	long	masked_long	event_return_3d	2021
130	bge_m3	long	masked_long	event_return_3d	2022
131	bge_m3	long	masked_long	event_return_3d	2023
132	bge_m3	long	masked_long	event_return_3d	2024
133	bge_m3	long	masked_long	event_return_3d	2025
134	bge_m3	long	masked_long	event_return_3d	2026
135	bge_m3	long	masked_long	next_day_return	2018
136	bge_m3	long	masked_long	next_day_return	2019
137	bge_m3	long	masked_long	next_day_return	2020
138	bge_m3	long	masked_long	next_day_return	2021
139	bge_m3	long	masked_long	next_day_return	2022
140	bge_m3	long	masked_long	next_day_return	2023
141	bge_m3	long	masked_long	next_day_return	2024
142	bge_m3	long	masked_long	next_day_return	2025
143	bge_m3	long	masked_long	next_day_return	2026
144	ckip_bert	short	short	event_return_3d	2018
145	ckip_bert	short	short	event_return_3d	2019
146	ckip_bert	short	short	event_return_3d	2020
147	ckip_bert	short	short	event_return_3d	2021
148	ckip_bert	short	short	event_return_3d	2022
149	ckip_bert	short	short	event_return_3d	2023
150	ckip_bert	short	short	event_return_3d	2024
151	ckip_bert	short	short	event_return_3d	2025
152	ckip_bert	short	short	event_return_3d	2026
153	ckip_bert	short	short	next_day_return	2018
154	ckip_bert	short	short	next_day_return	2019
155	ckip_bert	short	short	next_day_return	2020
156	ckip_bert	short	short	next_day_return	2021
157	ckip_bert	short	short	next_day_return	2022
158	ckip_bert	short	short	next_day_return	2023
159	ckip_bert	short	short	next_day_return	2024
160	ckip_bert	short	short	next_day_return	2025
161	ckip_bert	short	short	next_day_return	2026
162	ckip_bert	short	masked_short	event_return_3d	2018
163	ckip_bert	short	masked_short	event_return_3d	2019
164	ckip_bert	short	masked_short	event_return_3d	2020
165	ckip_bert	short	masked_short	event_return_3d	2021
166	ckip_bert	short	masked_short	event_return_3d	2022
167	ckip_bert	short	masked_short	event_return_3d	2023
168	ckip_bert	short	masked_short	event_return_3d	2024
169	ckip_bert	short	masked_short	event_return_3d	2025
170	ckip_bert	short	masked_short	event_return_3d	2026
171	ckip_bert	short	masked_short	next_day_return	2018
172	ckip_bert	short	masked_short	next_day_return	2019
173	ckip_bert	short	masked_short	next_day_return	2020
174	ckip_bert	short	masked_short	next_day_return	2021
175	ckip_bert	short	masked_short	next_day_return	2022
176	ckip_bert	short	masked_short	next_day_return	2023
177	ckip_bert	short	masked_short	next_day_return	2024
178	ckip_bert	short	masked_short	next_day_return	2025
179	ckip_bert	short	masked_short	next_day_return	2026
180	ckip_bert	long	long	event_return_3d	2018
181	ckip_bert	long	long	event_return_3d	2019
182	ckip_bert	long	long	event_return_3d	2020
183	ckip_bert	long	long	event_return_3d	2021
184	ckip_bert	long	long	event_return_3d	2022
185	ckip_bert	long	long	event_return_3d	2023
186	ckip_bert	long	long	event_return_3d	2024
187	ckip_bert	long	long	event_return_3d	2025
188	ckip_bert	long	long	event_return_3d	2026
189	ckip_bert	long	long	next_day_return	2018
190	ckip_bert	long	long	next_day_return	2019
191	ckip_bert	long	long	next_day_return	2020
192	ckip_bert	long	long	next_day_return	2021
193	ckip_bert	long	long	next_day_return	2022
194	ckip_bert	long	long	next_day_return	2023
195	ckip_bert	long	long	next_day_return	2024
196	ckip_bert	long	long	next_day_return	2025
197	ckip_bert	long	long	next_day_return	2026
198	ckip_bert	long	masked_long	event_return_3d	2018
199	ckip_bert	long	masked_long	event_return_3d	2019
200	ckip_bert	long	masked_long	event_return_3d	2020
201	ckip_bert	long	masked_long	event_return_3d	2021
202	ckip_bert	long	masked_long	event_return_3d	2022
203	ckip_bert	long	masked_long	event_return_3d	2023
204	ckip_bert	long	masked_long	event_return_3d	2024
205	ckip_bert	long	masked_long	event_return_3d	2025
206	ckip_bert	long	masked_long	event_return_3d	2026
207	ckip_bert	long	masked_long	next_day_return	2018
208	ckip_bert	long	masked_long	next_day_return	2019
209	ckip_bert	long	masked_long	next_day_return	2020
210	ckip_bert	long	masked_long	next_day_return	2021
211	ckip_bert	long	masked_long	next_day_return	2022
212	ckip_bert	long	masked_long	next_day_return	2023
213	ckip_bert	long	masked_long	next_day_return	2024
214	ckip_bert	long	masked_long	next_day_return	2025
215	ckip_bert	long	masked_long	next_day_return	2026
216	xlm_roberta_large	short	short	event_return_3d	2018
217	xlm_roberta_large	short	short	event_return_3d	2019
218	xlm_roberta_large	short	short	event_return_3d	2020
219	xlm_roberta_large	short	short	event_return_3d	2021
220	xlm_roberta_large	short	short	event_return_3d	2022
221	xlm_roberta_large	short	short	event_return_3d	2023
222	xlm_roberta_large	short	short	event_return_3d	2024
223	xlm_roberta_large	short	short	event_return_3d	2025
224	xlm_roberta_large	short	short	event_return_3d	2026
225	xlm_roberta_large	short	short	next_day_return	2018
226	xlm_roberta_large	short	short	next_day_return	2019
227	xlm_roberta_large	short	short	next_day_return	2020
228	xlm_roberta_large	short	short	next_day_return	2021
229	xlm_roberta_large	short	short	next_day_return	2022
230	xlm_roberta_large	short	short	next_day_return	2023
231	xlm_roberta_large	short	short	next_day_return	2024
232	xlm_roberta_large	short	short	next_day_return	2025
233	xlm_roberta_large	short	short	next_day_return	2026
234	xlm_roberta_large	short	masked_short	event_return_3d	2018
235	xlm_roberta_large	short	masked_short	event_return_3d	2019
236	xlm_roberta_large	short	masked_short	event_return_3d	2020
237	xlm_roberta_large	short	masked_short	event_return_3d	2021
238	xlm_roberta_large	short	masked_short	event_return_3d	2022
239	xlm_roberta_large	short	masked_short	event_return_3d	2023
240	xlm_roberta_large	short	masked_short	event_return_3d	2024
241	xlm_roberta_large	short	masked_short	event_return_3d	2025
242	xlm_roberta_large	short	masked_short	event_return_3d	2026
243	xlm_roberta_large	short	masked_short	next_day_return	2018
244	xlm_roberta_large	short	masked_short	next_day_return	2019
245	xlm_roberta_large	short	masked_short	next_day_return	2020
246	xlm_roberta_large	short	masked_short	next_day_return	2021
247	xlm_roberta_large	short	masked_short	next_day_return	2022
248	xlm_roberta_large	short	masked_short	next_day_return	2023
249	xlm_roberta_large	short	masked_short	next_day_return	2024
250	xlm_roberta_large	short	masked_short	next_day_return	2025
251	xlm_roberta_large	short	masked_short	next_day_return	2026
252	xlm_roberta_large	long	long	event_return_3d	2018
253	xlm_roberta_large	long	long	event_return_3d	2019
254	xlm_roberta_large	long	long	event_return_3d	2020
255	xlm_roberta_large	long	long	event_return_3d	2021
256	xlm_roberta_large	long	long	event_return_3d	2022
257	xlm_roberta_large	long	long	event_return_3d	2023
258	xlm_roberta_large	long	long	event_return_3d	2024
259	xlm_roberta_large	long	long	event_return_3d	2025
260	xlm_roberta_large	long	long	event_return_3d	2026
261	xlm_roberta_large	long	long	next_day_return	2018
262	xlm_roberta_large	long	long	next_day_return	2019
263	xlm_roberta_large	long	long	next_day_return	2020
264	xlm_roberta_large	long	long	next_day_return	2021
265	xlm_roberta_large	long	long	next_day_return	2022
266	xlm_roberta_large	long	long	next_day_return	2023
267	xlm_roberta_large	long	long	next_day_return	2024
268	xlm_roberta_large	long	long	next_day_return	2025
269	xlm_roberta_large	long	long	next_day_return	2026
270	xlm_roberta_large	long	masked_long	event_return_3d	2018
271	xlm_roberta_large	long	masked_long	event_return_3d	2019
272	xlm_roberta_large	long	masked_long	event_return_3d	2020
273	xlm_roberta_large	long	masked_long	event_return_3d	2021
274	xlm_roberta_large	long	masked_long	event_return_3d	2022
275	xlm_roberta_large	long	masked_long	event_return_3d	2023
276	xlm_roberta_large	long	masked_long	event_return_3d	2024
277	xlm_roberta_large	long	masked_long	event_return_3d	2025
278	xlm_roberta_large	long	masked_long	event_return_3d	2026
279	xlm_roberta_large	long	masked_long	next_day_return	2018
280	xlm_roberta_large	long	masked_long	next_day_return	2019
281	xlm_roberta_large	long	masked_long	next_day_return	2020
282	xlm_roberta_large	long	masked_long	next_day_return	2021
283	xlm_roberta_large	long	masked_long	next_day_return	2022
284	xlm_roberta_large	long	masked_long	next_day_return	2023
285	xlm_roberta_large	long	masked_long	next_day_return	2024
286	xlm_roberta_large	long	masked_long	next_day_return	2025
287	xlm_roberta_large	long	masked_long	next_day_return	2026
